0 1:9 2:0 3:9 4:1 5:5 6:3 7:50
0 1:17 2:27 3:17 4:6 5:3 6:8 7:50
0 1:23 2:44 3:13 4:4 5:8 6:1 7:50
0 1:21 2:49 3:13 4:4 5:8 6:1 7:50
0 1:27 2:49 3:19 4:6 5:4 6:9 7:50
0 1:10 2:49 3:10 4:4 5:1 6:5 7:50
0 1:4 2:25 3:4 4:0 5:2 6:2 7:50
0 1:39 2:10 3:16 4:6 5:5 6:5 7:50
0 1:34 2:49 3:34 4:0 5:1 6:33 7:50
0 1:38 2:37 3:28 4:3 5:4 6:21 7:50
0 1:1 2:49 3:1 4:0 5:0 6:1 7:50
0 1:35 2:1 3:25 4:2 5:6 6:17 7:50
0 1:13 2:49 3:13 4:0 5:1 6:12 7:50
0 1:24 2:16 3:24 4:1 5:4 6:19 7:50
0 1:16 2:39 3:16 4:6 5:3 6:7 7:50
1 1:27 2:43 3:13 4:6 5:7 6:0 7:50
0 1:25 2:52 3:25 4:1 5:5 6:19 7:50
0 1:23 2:43 3:23 4:6 5:0 6:17 7:50
0 1:36 2:41 3:36 4:0 5:3 6:33 7:50
0 1:39 2:45 3:13 4:5 5:7 6:1 7:50
1 1:37 2:49 3:17 4:7 5:4 6:6 7:50
0 1:26 2:50 3:26 4:4 5:3 6:19 7:50
1 1:29 2:47 3:16 4:7 5:5 6:4 7:50
1 1:40 2:52 3:15 4:7 5:5 6:3 7:50
0 1:7 2:51 3:7 4:3 5:1 6:3 7:50
0 1:10 2:19 3:10 4:3 5:2 6:5 7:50
1 1:17 2:25 3:17 4:8 5:3 6:6 7:50
0 1:8 2:50 3:8 4:1 5:1 6:6 7:50
1 1:37 2:14 3:17 4:8 5:3 6:6 7:50
1 1:33 2:50 3:14 4:4 5:8 6:2 7:50
1 1:24 2:50 3:14 4:7 5:5 6:2 7:50
1 1:30 2:50 3:14 4:3 5:9 6:2 7:50
0 1:26 2:50 3:16 4:7 5:4 6:5 7:50
0 1:24 2:49 3:24 4:2 5:2 6:20 7:50
0 1:28 2:36 3:25 4:3 5:5 6:17 7:50
0 1:24 2:49 3:22 4:6 5:3 6:13 7:50
1 1:28 2:49 3:16 4:4 5:8 6:4 7:50
0 1:9 2:52 3:9 4:0 5:0 6:9 7:50
0 1:12 2:9 3:12 4:4 5:2 6:6 7:50
1 1:36 2:30 3:20 4:5 5:5 6:10 7:50
0 1:31 2:50 3:16 4:5 5:6 6:5 7:50
1 1:18 2:49 3:17 4:7 5:4 6:6 7:50
0 1:10 2:50 3:10 4:5 5:3 6:2 7:50
0 1:7 2:34 3:7 4:4 5:0 6:3 7:50
0 1:10 2:19 3:10 4:1 5:5 6:4 7:50
0 1:17 2:28 3:13 4:7 5:5 6:1 7:50
1 1:39 2:49 3:16 4:7 5:5 6:4 7:50
0 1:8 2:52 3:8 4:0 5:3 6:5 7:50
0 1:20 2:17 3:20 4:4 5:2 6:14 7:50
0 1:12 2:38 3:12 4:1 5:3 6:8 7:50
1 1:34 2:24 3:18 4:4 5:7 6:7 7:50
0 1:19 2:51 3:19 4:0 5:2 6:17 7:50
0 1:21 2:25 3:13 4:7 5:5 6:1 7:50
1 1:34 2:49 3:16 4:6 5:6 6:4 7:50
0 1:26 2:52 3:26 4:0 5:0 6:26 7:50
0 1:16 2:26 3:16 4:3 5:0 6:13 7:50
0 1:23 2:25 3:13 4:5 5:7 6:1 7:50
1 1:33 2:49 3:17 4:4 5:7 6:6 7:50
0 1:24 2:50 3:16 4:4 5:7 6:5 7:50
0 1:1 2:49 3:1 4:0 5:0 6:1 7:50
0 1:28 2:1 3:28 4:2 5:4 6:22 7:50
0 1:13 2:46 3:13 4:5 5:5 6:3 7:50
0 1:9 2:43 3:9 4:1 5:1 6:7 7:50
0 1:17 2:15 3:17 4:5 5:4 6:8 7:50
1 1:22 2:44 3:18 4:6 5:5 6:7 7:50
0 1:18 2:51 3:18 4:1 5:2 6:15 7:50
0 1:2 2:27 3:2 4:0 5:0 6:2 7:50
0 1:8 2:2 3:8 4:4 5:3 6:1 7:50
0 1:5 2:29 3:5 4:1 5:0 6:4 7:50
1 1:38 2:8 3:15 4:6 5:6 6:3 7:50
0 1:4 2:51 3:4 4:1 5:0 6:3 7:50
0 1:12 2:7 3:12 4:5 5:3 6:4 7:50
0 1:6 2:36 3:6 4:4 5:1 6:1 7:50
0 1:3 2:21 3:3 4:0 5:0 6:3 7:50
0 1:9 2:3 3:9 4:1 5:2 6:6 7:50
0 1:24 2:18 3:19 4:6 5:4 6:9 7:50
0 1:11 2:49 3:11 4:1 5:2 6:8 7:50
0 1:26 2:20 3:26 4:4 5:2 6:20 7:50
0 1:13 2:44 3:13 4:4 5:7 6:2 7:50
0 1:30 2:46 3:30 4:0 5:0 6:30 7:50
0 1:22 2:30 3:16 4:5 5:6 6:5 7:50
0 1:36 2:49 3:31 4:3 5:3 6:25 7:50
0 1:22 2:49 3:22 4:2 5:3 6:17 7:50
1 1:25 2:37 3:22 4:5 5:5 6:12 7:50
0 1:17 2:52 3:17 4:0 5:0 6:17 7:50
0 1:2 2:17 3:2 4:1 5:0 6:1 7:50
0 1:19 2:5 3:19 4:2 5:3 6:14 7:50
0 1:5 2:34 3:5 4:1 5:1 6:3 7:50
0 1:33 2:11 3:28 4:1 5:6 6:21 7:50
0 1:30 2:49 3:22 4:7 5:2 6:13 7:50
0 1:19 2:49 3:16 4:4 5:7 6:5 7:50
0 1:27 2:49 3:27 4:2 5:1 6:24 7:50
0 1:38 2:36 3:31 4:2 5:4 6:25 7:50
0 1:39 2:49 3:39 4:0 5:0 6:39 7:50
0 1:30 2:39 3:13 4:5 5:7 6:1 7:50
0 1:16 2:49 3:16 4:2 5:6 6:8 7:50
1 1:26 2:40 3:21 4:3 5:7 6:11 7:50
1 1:29 2:51 3:20 4:4 5:6 6:10 7:50
1 1:25 2:50 3:13 4:5 5:8 6:0 7:50
0 1:36 2:52 3:31 4:4 5:2 6:25 7:50
